Label,Full UTM URL,Source,Medium,Campaign,Content
WhatsApp | Homepage,https://chuk.in/?utm_source=whatsapp&utm_medium=chat&utm_campaign=broadcast&utm_content=homepage,whatsapp,chat,broadcast,homepage
Email | Newsletter → Products,https://chuk.in/products/?utm_source=newsletter&utm_medium=email&utm_campaign=monthly-newsletter&utm_content=products,newsletter,email,monthly-newsletter,products
Email | Newsletter → Sample Box,https://chuk.in/buy-sample-boxes/?utm_source=newsletter&utm_medium=email&utm_campaign=monthly-newsletter&utm_content=sample-box,newsletter,email,monthly-newsletter,sample-box
Email | Promo → Meal Plates,https://chuk.in/products/disposable-meal-plates/?utm_source=newsletter&utm_medium=email&utm_campaign=promo&utm_content=meal-plates,newsletter,email,promo,meal-plates
Email | Promo → Bowls,https://chuk.in/products/disposable-bowls/?utm_source=newsletter&utm_medium=email&utm_campaign=promo&utm_content=bowls,newsletter,email,promo,bowls
Email | Transactional → Homepage,https://chuk.in/?utm_source=zoho-crm&utm_medium=email&utm_campaign=transactional&utm_content=homepage,zoho-crm,email,transactional,homepage
Email | B2B Outreach → Distributors,https://chuk.in/distributors-2/?utm_source=zoho-crm&utm_medium=email&utm_campaign=b2b-outreach&utm_content=distributors,zoho-crm,email,b2b-outreach,distributors
YouTube | Description → Homepage,https://chuk.in/?utm_source=youtube&utm_medium=video&utm_campaign=product-demo&utm_content=homepage,youtube,video,product-demo,homepage
YouTube | Description → Products,https://chuk.in/products/?utm_source=youtube&utm_medium=video&utm_campaign=product-demo&utm_content=products,youtube,video,product-demo,products
YouTube | Description → Sample Box,https://chuk.in/buy-sample-boxes/?utm_source=youtube&utm_medium=video&utm_campaign=product-demo&utm_content=sample-box,youtube,video,product-demo,sample-box
YouTube | Description → Distributors,https://chuk.in/distributors-2/?utm_source=youtube&utm_medium=video&utm_campaign=b2b&utm_content=distributors,youtube,video,b2b,distributors
Google Ads | Search → Homepage,https://chuk.in/?utm_source=google&utm_medium=cpc&utm_campaign=brand-search&utm_content=homepage,google,cpc,brand-search,homepage
Google Ads | Search → Products,https://chuk.in/products/?utm_source=google&utm_medium=cpc&utm_campaign=product-search&utm_content=products,google,cpc,product-search,products
Google Ads | Search → Sample Box,https://chuk.in/buy-sample-boxes/?utm_source=google&utm_medium=cpc&utm_campaign=conversion&utm_content=sample-box,google,cpc,conversion,sample-box
Google Ads | Shopping → Plates,https://chuk.in/products/disposable-plates/?utm_source=google&utm_medium=cpc&utm_campaign=shopping&utm_content=plates,google,cpc,shopping,plates
QR Code | Packaging → Homepage,https://chuk.in/?utm_source=qr-code&utm_medium=offline&utm_campaign=packaging&utm_content=homepage,qr-code,offline,packaging,homepage
QR Code | Packaging → Products,https://chuk.in/products/?utm_source=qr-code&utm_medium=offline&utm_campaign=packaging&utm_content=products,qr-code,offline,packaging,products
QR Code | Event → Sample Box,https://chuk.in/buy-sample-boxes/?utm_source=qr-code&utm_medium=offline&utm_campaign=event&utm_content=sample-box,qr-code,offline,event,sample-box
QR Code | Distributor Kit → Distributors,https://chuk.in/distributors-2/?utm_source=qr-code&utm_medium=offline&utm_campaign=distributor-kit&utm_content=distributors,qr-code,offline,distributor-kit,distributors
